DATE	TYPE	TeamA	ConfA	TeamB	VenueA	RESULT	ResultA	Scores	split_1	split_2	ScoreA	ScoreB
2021-02-09	C	St. Bonaventure	A10	La Salle	H	W, 86-73	W	86-73	86	73	86	73
2021-02-20	C	Arizona	P12	USC	A	W, 81-72	W	81-72	81	72	81	72
2021-03-13	CT	Houston	Amer	Memphis	N	W, 76-74	W	76-74	76	74	76	74
2021-03-10	CT	North Carolina	ACC	Notre Dame	N	W, 101-59	W	101-59	101	59	101	59
2021-01-30	N	Missouri	SEC	TCU	H	W, 102-98	W	102-98	102	98	102	98
2020-11-28	N	Saint Louis	A10	LSU	H	W, 85-81	W	85-81	85	81	85	81
2021-02-28	C	Maryland	B10	Michigan St.	H	W, 73-55	W	73-55	73	55	73	55
2020-12-22	N	Arkansas	SEC	Abilene Christian	H	W, 85-72	W	85-72	85	72	85	72
2020-12-09	N	Michigan	B10	Toledo	H	W, 91-71	W	91-71	91	71	91	71
2021-03-06	C	Creighton	BE	Butler	H	W, 93-73	W	93-73	93	73	93	73
2020-12-08	N	Ohio St.	B10	Notre Dame	A	W, 90-85	W	90-85	90	85	90	85
2020-11-27	N	Iowa	B10	Southern	H	W, 103-76	W	103-76	103	76	103	76
2021-01-16	C	Arizona St.	P12	Oregon St.	A	L, 80-79	L	80-79	80	79	79	80
2021-01-30	C	St. Bonaventure	A10	George Mason	H	W, 84-67	W	84-67	84	67	84	67
2021-01-14	C	USC	P12	Washington	H	W, 95-68	W	95-68	95	68	95	68
2021-02-18	C	Washington St.	P12	California	H	W, 82-51	W	82-51	82	51	82	51
2020-11-28	N	LSU	SEC	Saint Louis	A	L, 85-81	L	85-81	85	81	81	85
2020-11-26	N	LSU	SEC	SIU Edwardsville	N	W, 94-81	W	94-81	94	81	94	81
2021-01-12	C	Michigan	B10	Wisconsin	H	W, 77-54	W	77-54	77	54	77	54
2020-11-28	N	Baylor	B12	Louisiana Lafayette	N	W, 112-82	W	112-82	112	82	112	82
2021-01-23	C	Florida St.	ACC	Clemson	H	W, 80-61	W	80-61	80	61	80	61
2021-02-03	C	East Carolina	Amer	Houston	H	W, 82-73	W	82-73	82	73	82	73
2021-03-12	CT	Michigan	B10	Maryland	N	W, 79-66	W	79-66	79	66	79	66
2021-02-02	C	Michigan St.	B10	Iowa	A	L, 84-78	L	84-78	84	78	78	84
2021-02-20	C	Missouri	SEC	South Carolina	A	W, 93-78	W	93-78	93	78	93	78
2021-03-04	CT	Massachusetts	A10	Saint Joseph's	N	W, 100-66	W	100-66	100	66	100	66
2021-02-03	C	Pittsburgh	ACC	Virginia Tech	H	W, 83-72	W	83-72	83	72	83	72
2021-01-27	C	Seton Hall	BE	Creighton	H	L, 85-81	L	85-81	85	81	81	85
2021-03-14	CT	LSU	SEC	Alabama	N	L, 80-79	L	80-79	80	79	79	80
2021-03-06	C	Texas A&M	SEC	Arkansas	A	L, 87-80	L	87-80	87	80	80	87
2021-02-27	C	Boston College	ACC	Notre Dame	H	W, 94-90	W	94-90	94	90	94	90
2021-02-09	C	La Salle	A10	St. Bonaventure	A	L, 86-73	L	86-73	86	73	73	86
2021-02-17	C	Maryland	B10	Nebraska	H	W, 79-71	W	79-71	79	71	79	71
2021-01-16	C	Georgia	SEC	Mississippi	A	W, 78-74	W	78-74	78	74	78	74
2021-01-10	C	Indiana	B10	Nebraska	A	W, 84-76	W	84-76	84	76	84	76
2021-03-03	C	Oregon	P12	UCLA	H	W, 82-74	W	82-74	82	74	82	74
2021-01-27	C	Creighton	BE	Seton Hall	A	W, 85-81	W	85-81	85	81	85	81
2020-12-10	N	Minnesota	B10	UMKC	H	W, 90-61	W	90-61	90	61	90	61
2021-02-04	C	Oregon St.	P12	Washington	H	W, 91-71	W	91-71	91	71	91	71
2021-03-10	CT	Utah	P12	Washington	N	W, 98-95	W	98-95	98	95	98	95
2021-02-13	C	Ohio St.	B10	Indiana	H	W, 78-59	W	78-59	78	59	78	59
2020-12-19	N	Purdue	B10	Notre Dame	N	W, 88-78	W	88-78	88	78	88	78
2021-01-16	C	Oregon St.	P12	Arizona St.	H	W, 80-79	W	80-79	80	79	80	79
2021-02-13	C	LSU	SEC	Tennessee	H	W, 78-65	W	78-65	78	65	78	65
2021-02-14	C	Maryland	B10	Minnesota	H	W, 72-59	W	72-59	72	59	72	59
2020-12-30	C	Ohio St.	B10	Nebraska	H	W, 90-54	W	90-54	90	54	90	54
2020-11-25	N	Virginia	ACC	Towson	N	W, 89-54	W	89-54	89	54	89	54
2020-11-25	N	Arkansas	SEC	Mississippi Valley S	H	W, 142-62	W	142-62	142	62	142	62
2021-01-23	C	Missouri	SEC	Tennessee	A	W, 73-64	W	73-64	73	64	73	64
2021-03-04	C	Baylor	B12	Oklahoma St.	H	W, 81-70	W	81-70	81	70	81	70
2020-12-08	N	Iowa	B10	North Carolina	H	W, 93-80	W	93-80	93	80	93	80
2021-03-28	T	USC	P12	Oregon	N	W, 82-68	W	82-68	82	68	82	68
2020-12-30	C	Seton Hall	BE	Xavier	A	W, 85-68	W	85-68	85	68	85	68
2021-03-12	CT	Houston	Amer	Tulane	N	W, 77-52	W	77-52	77	52	77	52
2021-03-02	C	West Virginia	B12	Baylor	H	L, 94-89	L	94-89	94	89	89	94
2021-02-06	C	North Carolina	ACC	Duke	A	W, 91-87	W	91-87	91	87	91	87
2021-01-12	C	Boston College	ACC	Miami FL	H	W, 84-62	W	84-62	84	62	84	62
2021-03-07	C	Texas Tech	B12	Baylor	A	L, 88-73	L	88-73	88	73	73	88
